            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463052.500000000, A.D. 2031-Jul-05 00:00:00.0000,  2.180387207621523E-01, -9.930299350738531E-01,  6.652740498831973E-05,  1.651686842896755E-02,  3.622359895806362E-03, -8.046755402258611E-07,  5.871885555716956E-03,  1.016685467649790E+00,  4.135986696936291E-06,
2463053.500000000, A.D. 2031-Jul-06 00:00:00.0000,  2.345244479860291E-01, -9.892688341042775E-01,  6.578255578676346E-05,  1.645388935546348E-02,  3.899700473537474E-03, -6.809384153875984E-07,  5.871900345571736E-03,  1.016688028433763E+00,  9.709298029306205E-07,
2463054.500000000, A.D. 2031-Jul-07 00:00:00.0000,  2.509450950791271E-01, -9.852308084393511E-01,  6.517156706912029E-05,  1.638669578704102E-02,  4.176216806021568E-03, -5.391205325161986E-07,  5.871896493274070E-03,  1.016687361429099E+00, -2.337555209580845E-06,
2463055.500000000, A.D. 2031-Jul-08 00:00:00.0000,  2.672964049800822E-01, -9.809166669152873E-01,  6.470595898313922E-05,  1.631519794390700E-02,  4.451932259531033E-03, -3.923316396033160E-07,  5.871872886544869E-03,  1.016683274050643E+00, -5.882679439999456E-06,
2463056.500000000, A.D. 2031-Jul-09 00:00:00.0000,  2.835740207884354E-01, -9.763272181630493E-01,  6.438451115605230E-05,  1.623928973929405E-02,  4.726823516448104E-03, -2.526357480434750E-07,  5.871827970436265E-03,  1.016675497067517E+00, -9.723638206887237E-06,
2463057.500000000, A.D. 2031-Jul-10 00:00:00.0000,  2.997734801834982E-01, -9.714633164118182E-01,  6.419507806792230E-05,  1.615886932307778E-02,  5.000824109867572E-03, -1.296694960238367E-07,  5.871759949244471E-03,  1.016663719563250E+00, -1.388530918064393E-05,
2463058.500000000, A.D. 2031-Jul-11 00:00:00.0000,  3.158902269547322E-01, -9.663258994847387E-01,  6.411731207993916E-05,  1.607385223775445E-02,  5.273835432961479E-03, -3.019442567554515E-08,  5.871666966943984E-03,  1.016647620176987E+00, -1.836520209690525E-05,
2463059.500000000, A.D. 2031-Jul-12 00:00:00.0000,  3.319196315154624E-01, -9.609160146438409E-01,  6.412546097267052E-05,  1.598417645819581E-02,  5.545739152102198E-03,  4.166565325424809E-08,  5.871547238362620E-03,  1.016626889815746E+00, -2.314280860927125E-05,
2463060.500000000, A.D. 2031-Jul-13 00:00:00.0000,  3.478570133580584E-01, -9.552348330477896E-01,  6.419074466315580E-05,  1.588980175852974E-02,  5.816407167667390E-03,  8.388003169257278E-08,  5.871399128517815E-03,  1.016601245391072E+00, -2.818778937812578E-05,
2463061.500000000, A.D. 2031-Jul-14 00:00:00.0000,  3.636976613356492E-01, -9.492836560550162E-01,  6.428316070106386E-05,  1.579070646208402E-02,  6.085707943773375E-03,  9.594929440940593E-08,  5.871221192000104E-03,  1.016570436638074E+00, -3.346553082455174E-05,
2463062.500000000, A.D. 2031-Jul-15 00:00:00.0000,  3.794368503661307E-01, -9.430639168429691E-01,  6.437278503182985E-05,  1.568688381520826E-02,  6.353509706150971E-03,  7.847075916793261E-08,  5.871012187987749E-03,  1.016534248715127E+00, -3.894011173667170E-05,
2463063.500000000, A.D. 2031-Jul-16 00:00:00.0000,  3.950698548434942E-01, -9.365771799437673E-01,  6.443071862272916E-05,  1.557833914166805E-02,  6.619681602625812E-03,  3.286377217375295E-08,  5.870771083974298E-03,  1.016492502849282E+00, -4.457538237316782E-05,
2463064.500000000, A.D. 2031-Jul-17 00:00:00.0000,  4.105919597601940E-01, -9.298251401891050E-01,  6.442982939249186E-05,  1.546508811841063E-02,  6.884093879130341E-03, -3.877213866988965E-08,  5.870497056757787E-03,  1.016445056507536E+00, -5.033495908661678E-05,
2463065.500000000, A.D. 2031-Jul-18 00:00:00.0000,  4.259984706241942E-01, -9.228096216373185E-01,  6.434539883836759E-05,  1.534715604388097E-02,  7.146617840190130E-03, -1.337144761242700E-07,  5.870189494965471E-03,  1.016391803833981E+00, -5.618178969638056E-05,
2463066.500000000, A.D. 2031-Jul-19 00:00:00.0000,  4.412847230034676E-01, -9.155325764486599E-01,  6.415573348514187E-05,  1.522457776092638E-02,  7.407126041348923E-03, -2.486381730382680E-07,  5.869848004217831E-03,  1.016332676543919E+00, -6.207772912221965E-05,
2463067.500000000, A.D. 2031-Jul-20 00:00:00.0000,  4.564460921622170E-01, -9.079960833729835E-01,  6.384275849752746E-05,  1.509739785811849E-02,  7.665492879467709E-03, -3.796356674205135E-07,  5.869472414119228E-03,  1.016267645134260E+00, -6.798335270392756E-05,
2463068.500000000, A.D. 2031-Jul-21 00:00:00.0000,  4.714780029070292E-01, -9.002023454605965E-01,  6.339258226127388E-05,  1.496567084896733E-02,  7.921595535491774E-03, -5.222567805060181E-07,  5.869062785495640E-03,  1.016196720136696E+00, -7.385805171850327E-05,
2463069.500000000, A.D. 2031-Jul-22 00:00:00.0000,  4.863759395302912E-01, -8.921536867201297E-01,  6.279600924037509E-05,  1.482946117617703E-02,  8.175315106348042E-03, -6.715715263695001E-07,  5.868619416459244E-03,  1.016119953167751E+00, -7.966032145689366E-05,
2463070.500000000, A.D. 2031-Jul-23 00:00:00.0000,  5.011354556714741E-01, -8.838525476232257E-01,  6.204898233688626E-05,  1.468884305961024E-02,  8.426537756963245E-03, -8.222459479994502E-07,  5.868142846615972E-03,  1.016037437657294E+00, -8.534809050952714E-05,
2463071.500000000, A.D. 2031-Jul-24 00:00:00.0000,  5.157521840090165E-01, -8.753014794799621E-01,  6.115294903848353E-05,  1.454390034230271E-02,  8.675155830574838E-03, -9.686164859484276E-07,  5.867633859566075E-03,  1.015949309281504E+00, -9.087897010168748E-05,
