            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463046.500000000, A.D. 2031-Jun-29 00:00:00.0000, -4.609528819153615E-01, -1.423171017867069E+00, -1.852613564292401E-02,  1.384029035698984E-02, -3.110137838977769E-03, -4.044369007152372E-04,  8.640601093646580E-03,  1.496073702444076E+00, -1.300718698907859E-03,
2463047.500000000, A.D. 2031-Jun-30 00:00:00.0000, -4.470924093328585E-01, -1.426218175407711E+00, -1.892974717710315E-02,  1.388046781579684E-02, -2.984077518373087E-03, -4.027794817463865E-04,  8.633092572374722E-03,  1.494773642286534E+00, -1.299381816884268E-03,
2463048.500000000, A.D. 2031-Jul-01 00:00:00.0000, -4.331923218064238E-01, -1.429138974899903E+00, -1.933168126042794E-02,  1.391951864800119E-02, -2.857423271181969E-03, -4.010820000346228E-04,  8.625592115375707E-03,  1.493474978414550E+00, -1.297926028594837E-03,
2463049.500000000, A.D. 2031-Jul-02 00:00:00.0000, -4.192537508015104E-01, -1.431932826969418E+00, -1.973189780407777E-02,  1.395743318994501E-02, -2.730184201366790E-03, -3.993444061930724E-04,  8.618100410853795E-03,  1.492177829987000E+00, -1.296350859093497E-03,
2463050.500000000, A.D. 2031-Jul-03 00:00:00.0000, -4.052778374198353E-01, -1.434599151434022E+00, -2.013035667540814E-02,  1.399420181969339E-02, -2.602369592362125E-03, -3.975666554666901E-04,  8.610618149748154E-03,  1.490882316636291E+00, -1.294655829549113E-03,
2463051.500000000, A.D. 2031-Jul-04 00:00:00.0000, -3.912657323540162E-01, -1.437137377468745E+00, -2.052701770290926E-02,  1.402981496589945E-02, -2.473988899308948E-03, -3.957487103856083E-04,  8.603146025671166E-03,  1.489588558457685E+00, -1.292840467299451E-03,
2463052.500000000, A.D. 2031-Jul-05 00:00:00.0000, -3.772185958392987E-01, -1.439546943772774E+00, -2.092184068134703E-02,  1.406426311395057E-02, -2.345051736601621E-03, -3.938905416871252E-04,  8.595684734849609E-03,  1.488296675999111E+00, -1.290904319527660E-03,
2463053.500000000, A.D. 2031-Jul-06 00:00:00.0000, -3.631375976036050E-01, -1.441827298737065E+00, -2.131478537646074E-02,  1.409753680681901E-02, -2.215567875983333E-03, -3.919921271659417E-04,  8.588234976065550E-03,  1.487006790250933E+00, -1.288846955416907E-03,
2463054.500000000, A.D. 2031-Jul-07 00:00:00.0000, -3.490239168153956E-01, -1.443977900611657E+00, -2.170581152937134E-02,  1.412962664144941E-02, -2.085547252813535E-03, -3.900534489267932E-04,  8.580797450590486E-03,  1.485719022634548E+00, -1.286667959433653E-03,
2463055.500000000, A.D. 2031-Jul-08 00:00:00.0000, -3.348787420280066E-01, -1.445998217673075E+00, -2.209487886130086E-02,  1.416052326357847E-02, -1.954999970933232E-03, -3.880744899211106E-04,  8.573372862113130E-03,  1.484433494989878E+00, -1.284366925858234E-03,
